Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
delay,Chrome 67.0.3396.99,,2018-07-18 08:45:47,2018-07-18 08:45:49,2.004s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:45:49,2018-07-18 08:45:49,0.060s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:45:49,2018-07-18 08:45:52,3.002s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:45:52,2018-07-18 08:45:52,0.049s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:45:52,2018-07-18 08:45:55,3.002s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:45:55,2018-07-18 08:45:56,0.851s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:45:56,2018-07-18 08:45:58,2.001s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:45:58,2018-07-18 08:45:58,0.115s,PASSED
Statement - com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Navigations/Navigation - Currencies/label_Search),Chrome 67.0.3396.99,,2018-07-18 08:45:58,2018-07-18 08:45:58,0.005s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Bank Indemnity,Chrome 67.0.3396.99,,2018-07-18 08:45:58,2018-07-18 08:46:10,12.257s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:45:58,2018-07-18 08:46:01,3.003s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:46:01,2018-07-18 08:46:01,0.066s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:46:01,2018-07-18 08:46:04,3.001s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:46:04,2018-07-18 08:46:04,0.063s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:46:04,2018-07-18 08:46:07,3.002s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:46:07,2018-07-18 08:46:07,0.048s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:46:07,2018-07-18 08:46:09,2.002s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:46:09,2018-07-18 08:46:10,0.836s,PASSED
,,,,,,
Test Cases/Navigations/Navigation - Statutory Absence Parameters,Chrome 67.0.3396.99,,2018-07-18 08:46:10,2018-07-18 08:46:18,7.773s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:46:10,2018-07-18 08:46:12,2.003s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:46:12,2018-07-18 08:46:12,0.059s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:46:12,2018-07-18 08:46:14,2.001s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-18 08:46:14,2018-07-18 08:46:14,0.061s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-18 08:46:14,2018-07-18 08:46:16,2.002s,PASSED
click,Chrome 67.0.3396.99,,2018-07-18 08:46:16,2018-07-18 08:46:18,1.327s,PASSED
